Index,-30,-20,-10,0,10,20,frequency (Hz)
228,-124.773071289063,-132.720092773437,-113.210586547852,-107.943962097168,-91.5629425048828,-88.6897430419922,1425.8574999999998
229,-124.815582275391,-132.751647949219,-113.235702514648,-107.974731445312,-91.5884017944336,-88.712890625,1432.106875
230,-124.85856628418,-132.783493041992,-113.26097869873,-108.005744934082,-91.6140899658203,-88.7362747192383,1438.3562499999998
231,-124.901977539063,-132.815643310547,-113.286415100098,-108.036994934082,-91.6399841308594,-88.7598571777344,1444.605625
232,-124.945861816406,-132.848083496094,-113.31201171875,-108.068504333496,-91.6660995483398,-88.7836685180664,1450.855
233,-124.989730834961,-132.880355834961,-113.337295532227,-108.099769592285,-91.6919555664062,-88.8072204589844,1457.104375
234,-125.034057617187,-132.912902832031,-113.362724304199,-108.131278991699,-91.7180252075195,-88.8309631347656,1463.35375
235,-125.078842163086,-132.945739746094,-113.388298034668,-108.163032531738,-91.7443008422852,-88.8549194335937,1469.6031249999999
236,-125.124069213867,-132.978851318359,-113.414009094238,-108.195014953613,-91.7707672119141,-88.8790817260742,1475.8525
237,-125.16975402832,-133.012252807617,-113.43985748291,-108.227210998535,-91.7974472045898,-88.9034271240234,1482.1018749999998
